アイテム名称,機械名称,メイン
310793,21,True
310793,34,True
310793,22,True
310793,23,True
310430,21,True
310430,34,True
310430,22,True
310430,23,True
309879,21,True
309879,34,True
309879,22,True
309879,23,True
310146,21,True
310146,34,True
310146,22,True
310146,23,True
310147,34,True
310301,21,True
310301,34,False
310301,22,False
310301,23,True
310479,21,True
310479,34,False
310479,22,False
310479,23,True
310040,21,True
310040,34,False
310040,22,False
310040,23,True
309296,21,False
309296,34,False
310106,21,True
310106,34,False
310106,23,True
310117,21,True
310117,34,False
310117,23,True
310255,21,False
310255,34,True
310256,21,False
310256,34,True
310326,22,True
310101,21,True
310101,34,False
310101,22,False
310101,23,True
310102,21,True
310102,34,False
310102,22,False
310102,23,True
310212,21,True
310212,34,False
310212,22,False
310212,23,True
310380,34,True
310386,34,True
310690,21,True
310690,34,False
310690,22,False
310690,23,True
310287,21,True
310287,34,False
310287,23,True
310436,21,True
310436,34,False
310436,22,False
310436,23,True
310555,21,False
310555,34,True
310584,21,True
310584,34,False
310584,22,False
310584,23,True
310792,21,True
310792,34,False
310792,23,True
310906,21,True
310906,34,False
310906,22,False
310906,23,True
308308,21,True
308308,34,False
308308,22,False
308308,23,True
309258,21,True
309258,34,False
309258,23,True
310039,21,True
310039,34,False
310039,22,False
310039,23,True
310545,21,False
310545,34,True
310791,21,False
310791,34,False
310351,21,True
310351,34,False
310351,22,False
310351,23,True
307768,21,True
307768,34,False
307768,22,False
307768,23,True
310435,21,True
310435,34,False
310435,23,True
310668,21,True
310668,34,False
310668,22,False
310668,23,True
310199,22,True
310431,21,True
310431,34,False
310431,23,True
310639,21,False
310639,34,True
310561,21,True
310561,34,False
310561,22,False
310561,23,True
310794,21,True
310794,34,False
310794,23,True
310790,21,True
310790,34,False
310790,23,True
310579,21,True
310579,34,False
310579,22,False
310579,23,True
309897,21,True
309897,34,False
309897,22,False
310602,21,True
310602,34,False
310602,22,False
310602,23,True
310603,21,True
310603,34,False
310603,22,False
310603,23,True
310684,21,True
310684,34,False
310684,23,True
310832,21,True
310832,34,False
310832,22,False
310832,23,True
310726,21,True
310726,34,False
310726,23,True
310727,21,True
310727,34,False
310727,23,True
310782,21,True
310782,34,False
310782,22,False
310782,23,True
310785,21,False
310785,34,False
310104,21,True
310104,34,False
310104,23,True
310798,21,True
310798,34,False
310798,22,False
310798,23,True
310530,21,True
310530,34,False
310530,22,False
310530,23,True
310883,21,True
310883,34,False
310883,23,True
310895,21,True
310895,34,False
310895,23,True
310787,21,True
310787,34,False
310787,22,False
310787,23,True
310853,21,True
310853,34,False
310853,22,False
310853,23,True
309961,21,True
309961,34,False
309961,22,False
309961,23,True
310192,21,True
310192,34,False
310192,22,False
310192,23,True
310816,21,False
310816,34,True
310687,21,True
310687,34,False
310687,22,False
310687,23,True
310763,21,True
310763,34,False
310763,22,False
310763,23,True
310801,21,False
310801,34,False
310801,23,True
310802,21,False
310802,34,False
310802,23,True
310806,21,False
310806,34,False
310806,23,True
310887,21,True
310887,34,False
310887,23,True
310525,34,True
310224,21,False
310224,34,True
310888,21,True
310888,34,False
310888,23,True
310730,21,True
310730,34,False
310730,22,False
310730,23,True
310733,21,True
310733,34,False
310733,22,False
310733,23,True
310905,21,False
310905,34,False
310226,21,True
310226,34,False
310226,23,True
310605,21,True
310605,34,False
310605,22,False
310605,23,True
310844,21,True
310844,34,False
310844,22,False
310844,23,True
310893,21,True
310893,34,False
310893,22,False
310893,23,True
310693,21,True
310693,34,False
310693,22,False
310693,23,True
310734,21,False
310734,34,True
start,21,True
start,34,True
start,22,True
start,23,True
end,21,True
end,34,True
end,22,True
end,23,True
