FROM,TO,時間
310793,310430,35
310793,309879,27
310793,310146,27
310793,310147,37
310793,310301,27
310793,310479,35
310793,310040,27
310793,309296,22
310793,310106,27
310793,310117,27
310793,310255,37
310793,310256,37
310793,310326,27
310793,310101,35
310793,310102,35
310793,310212,27
310793,310380,37
310793,310386,70
310793,310690,27
310793,310287,35
310793,310436,27
310793,310555,45
310793,310584,27
310793,310792,35
310793,310906,27
310793,308308,35
310793,309258,27
310793,310039,27
310793,310545,37
310793,310791,35
310793,310351,27
310793,307768,35
310793,310435,35
310793,310668,35
310793,310199,27
310793,310431,27
310793,310639,37
310793,310561,35
310793,310794,27
310793,310790,27
310793,310579,27
310793,309897,27
310793,310602,27
310793,310603,27
310793,310684,27
310793,310832,27
310793,310726,27
310793,310727,27
310793,310782,27
310793,310785,35
310793,310104,35
310793,310798,27
310793,310884,37
310793,310530,27
310793,310883,27
310793,310895,27
310793,310787,35
310793,310853,27
310793,309961,35
310793,310192,35
310793,310816,37
310793,310687,35
310793,310763,35
310793,310801,27
310793,310802,27
310793,310806,27
310793,310887,27
310793,310525,37
310793,310224,45
310793,310888,35
310793,310730,35
310793,310733,27
310793,310905,37
310793,310226,35
310793,310605,35
310793,310844,27
310793,310893,35
310793,310693,35
310793,310734,37
310793,start,0
310793,end,0
310430,310793,35
310430,309879,35
310430,310146,35
310430,310147,45
310430,310301,35
310430,310479,27
310430,310040,35
310430,309296,35
310430,310106,35
310430,310117,35
310430,310255,45
310430,310256,45
310430,310326,35
310430,310101,27
310430,310102,27
310430,310212,35
310430,310380,45
310430,310386,62
310430,310690,35
310430,310287,27
310430,310436,35
310430,310555,37
310430,310584,35
310430,310792,27
310430,310906,35
310430,308308,27
310430,309258,28
310430,310039,35
310430,310545,45
310430,310791,27
310430,310351,35
310430,307768,27
310430,310435,15
310430,310668,27
310430,310199,35
310430,310431,30
310430,310639,45
310430,310561,27
310430,310794,35
310430,310790,35
310430,310579,35
310430,309897,35
310430,310602,35
310430,310603,35
310430,310684,23
310430,310832,35
310430,310726,30
310430,310727,30
310430,310782,35
310430,310785,27
310430,310104,15
310430,310798,35
310430,310884,45
310430,310530,35
310430,310883,23
310430,310895,30
310430,310787,27
310430,310853,35
310430,309961,27
310430,310192,27
310430,310816,45
310430,310687,27
310430,310763,27
310430,310801,35
310430,310802,35
310430,310806,35
310430,310887,35
310430,310525,45
310430,310224,37
310430,310888,15
310430,310730,27
310430,310733,35
310430,310905,45
310430,310226,27
310430,310605,27
310430,310844,35
310430,310893,27
310430,310693,27
310430,310734,45
310430,start,0
310430,end,0
309879,310793,27
309879,310430,35
309879,310146,27
309879,310147,37
309879,310301,20
309879,310479,28
309879,310040,20
309879,309296,27
309879,310106,27
309879,310117,27
309879,310255,37
309879,310256,37
309879,310326,27
309879,310101,28
309879,310102,28
309879,310212,20
309879,310380,37
309879,310386,70
309879,310690,20
309879,310287,35
309879,310436,20
309879,310555,45
309879,310584,20
309879,310792,35
309879,310906,20
309879,308308,28
309879,309258,27
309879,310039,20
309879,310545,37
309879,310791,35
309879,310351,20
309879,307768,28
309879,310435,35
309879,310668,28
309879,310199,27
309879,310431,27
309879,310639,37
309879,310561,28
309879,310794,27
309879,310790,27
309879,310579,20
309879,309897,22
309879,310602,20
309879,310603,20
309879,310684,27
309879,310832,20
309879,310726,27
309879,310727,27
309879,310782,20
309879,310785,35
309879,310104,35
309879,310798,20
309879,310884,37
309879,310530,20
309879,310883,27
309879,310895,27
309879,310787,28
309879,310853,20
309879,309961,28
309879,310192,28
309879,310816,37
309879,310687,28
309879,310763,28
309879,310801,27
309879,310802,27
309879,310806,27
309879,310887,27
309879,310525,37
309879,310224,45
309879,310888,35
309879,310730,28
309879,310733,20
309879,310905,30
309879,310226,35
309879,310605,28
309879,310844,20
309879,310893,28
309879,310693,28
309879,310734,37
309879,start,0
309879,end,0
310146,310793,27
310146,310430,35
310146,309879,27
310146,310147,37
310146,310301,27
310146,310479,35
310146,310040,27
310146,309296,27
310146,310106,27
310146,310117,27
310146,310255,37
310146,310256,37
310146,310326,27
310146,310101,35
310146,310102,35
310146,310212,27
310146,310380,37
310146,310386,70
310146,310690,27
310146,310287,35
310146,310436,27
310146,310555,45
310146,310584,27
310146,310792,35
310146,310906,27
310146,308308,35
310146,309258,27
310146,310039,27
310146,310545,37
310146,310791,35
310146,310351,27
310146,307768,35
310146,310435,35
310146,310668,35
310146,310199,27
310146,310431,27
310146,310639,37
310146,310561,35
310146,310794,27
310146,310790,27
310146,310579,27
310146,309897,27
310146,310602,27
310146,310603,27
310146,310684,27
310146,310832,27
310146,310726,27
310146,310727,27
310146,310782,27
310146,310785,35
310146,310104,35
310146,310798,27
310146,310884,37
310146,310530,27
310146,310883,27
310146,310895,27
310146,310787,35
310146,310853,27
310146,309961,35
310146,310192,35
