設備名称,アイテム名称,作業開始予定,作業完了予定,開始時間(数値),終了時間(数値),開始時間,終了時間,処理時間,残業時間,型替時間
21,310430,00000,00000,00000,00000,2024-05-20 08:30:00,2024-05-20 08:30:00,000,000,000
21,310039,-1590,02280,00035,00050,2024-05-20 09:05:00,2024-05-20 09:20:00,015,000,035
21,310040,-1590,00210,00073,00194,2024-05-20 09:43:00,2024-05-20 11:44:00,121,000,015
21,310436,-1590,01680,00209,00435,2024-05-20 11:59:00,2024-05-20 16:45:00,226,000,015
21,310479,-2190,00480,00458,00470,2024-05-20 17:08:00,2024-05-20 17:20:00,012,000,023
21,310101,-2520,01410,00485,00530,2024-05-20 17:35:00,2024-05-20 18:20:00,045,000,015
21,310212,-2790,01680,00553,00665,2024-05-20 18:43:00,2024-05-21 09:35:00,112,000,023
21,309296,-3720,01080,00692,00804,2024-05-21 10:02:00,2024-05-21 11:54:00,112,000,027
21,310791,-0720,02010,00839,00973,2024-05-21 13:29:00,2024-05-21 15:43:00,134,000,035
21,310117,-2790,01080,01008,01064,2024-05-21 16:18:00,2024-05-21 17:14:00,056,000,035
21,310792,00210,01680,01099,01611,2024-05-21 17:49:00,2024-05-22 16:21:00,512,000,035
21,310668,00810,02280,01638,01752,2024-05-22 16:48:00,2024-05-22 18:42:00,114,000,027
21,310545,-1320,02010,01797,01909,2024-05-22 19:27:00,2024-05-23 10:19:00,112,000,045
21,307768,01080,02280,01954,02177,2024-05-23 11:04:00,2024-05-23 15:47:00,223,000,045
21,310790,01410,02880,02212,02879,2024-05-23 16:22:00,2024-05-24 17:29:00,667,000,035
21,310727,01080,04410,03205,03210,2024-05-25 11:55:00,2024-05-25 13:00:00,005,000,027
21,310192,-2190,05610,03372,05595,2024-05-25 15:42:00,2024-05-29 11:45:00,2223,000,035
21,310905,06210,07080,06210,06257,2024-05-30 13:00:00,2024-05-30 13:47:00,047,000,038
21,310693,06810,09210,06810,07922,2024-05-31 13:00:00,2024-06-02 10:32:00,1112,000,038
21,310734,05880,11010,07967,08045,2024-06-02 11:17:00,2024-06-02 13:35:00,078,000,045
34,310793,00000,00000,00000,00000,2024-05-20 08:30:00,2024-05-20 08:30:00,000,000,000
34,310147,-3120,00210,00037,00060,2024-05-20 09:07:00,2024-05-20 09:30:00,023,000,037
34,310380,-1920,01410,00082,00105,2024-05-20 09:52:00,2024-05-20 10:15:00,023,000,022
34,310301,-2190,00480,00142,00476,2024-05-20 10:52:00,2024-05-20 17:26:00,334,000,037
34,310255,-2520,00810,00513,00558,2024-05-20 18:03:00,2024-05-20 18:48:00,045,000,037
34,310256,-2520,00810,00573,00685,2024-05-20 19:03:00,2024-05-21 09:55:00,112,000,015
34,310555,-1320,01410,00720,00787,2024-05-21 10:30:00,2024-05-21 11:37:00,067,000,035
34,310386,-1920,01410,00839,00928,2024-05-21 13:29:00,2024-05-21 14:58:00,089,000,052
34,310106,-2520,01080,00998,01043,2024-05-21 16:08:00,2024-05-21 16:53:00,045,000,070
34,310435,00810,02280,01078,01145,2024-05-21 17:28:00,2024-05-21 18:35:00,067,000,035
34,309258,-1920,02010,01173,01218,2024-05-21 19:03:00,2024-05-22 08:48:00,045,000,028
34,310906,00210,01410,01240,01252,2024-05-22 09:10:00,2024-05-22 09:22:00,012,000,022
34,310351,00210,02010,01267,01315,2024-05-22 09:37:00,2024-05-22 10:25:00,048,000,015
34,310584,00210,01680,01330,01355,2024-05-22 10:40:00,2024-05-22 11:05:00,025,000,015
34,308308,-1920,02280,01378,02267,2024-05-22 11:28:00,2024-05-23 17:17:00,889,000,023
34,310224,02280,06480,02425,02559,2024-05-24 08:55:00,2024-05-24 11:09:00,134,000,037
34,310431,-1920,02610,02604,02609,2024-05-24 11:54:00,2024-05-24 11:59:00,005,000,045
34,310639,00480,02880,02646,02869,2024-05-24 13:36:00,2024-05-24 17:19:00,223,000,037
34,310602,00480,04410,02906,02929,2024-05-24 17:56:00,2024-05-24 18:19:00,023,000,037
