機械名称,アイテム名称,開始時間,終了時間,型替時間
21,310040,0,156,35
21,310255,156,238,37
21,310256,238,365,15
21,309296,365,514,37
21,310584,514,566,27
21,310212,566,693,15
21,310351,693,756,15
21,309258,756,823,22
21,310545,823,972,37
21,310039,972,1024,37
21,310668,1024,1161,23
21,310435,1161,1255,27
21,310791,1255,1416,27
21,310690,1416,1674,35
21,307768,1674,1920,23
21,310790,1920,2622,35
21,310785,2622,2680,35
21,309897,2680,2782,35
21,310787,2782,3395,35
21,310816,3395,3938,45
21,310224,3938,4107,35
21,310844,4410,4578,45
21,310605,4680,4797,28
21,310905,6210,6295,38
34,310147,0,60,37
34,310117,60,153,37
34,310106,153,213,15
34,310906,213,252,27
34,310102,252,298,23
34,310101,298,358,15
34,310380,358,426,45
34,310555,426,528,35
34,310386,528,669,52
34,310436,669,965,70
34,310792,965,1512,35
34,310431,1512,1552,35
34,310794,1552,1606,20
34,310639,1606,1866,37
34,310192,1866,4134,45
34,310525,4134,4635,45
34,310893,5280,5437,45
34,310693,6810,7937,15
34,310734,7937,8060,45
22,310326,0,107,27
22,310199,107,2801,27
22,310853,2801,2940,27
22,310763,2940,4186,23
23,310479,0,36,28
23,310301,36,299,23
23,310287,299,1678,35
23,310782,1678,1718,35
23,310603,1718,1749,15
23,310726,1749,1780,27
23,310727,1780,1799,15
23,310883,1799,1829,22
23,310602,1829,1872,27
23,310895,1872,1925,27
23,310579,1925,2032,27
23,310832,2032,2143,15
23,310798,2143,2174,15
23,310684,2174,2361,27
23,310104,2361,2464,23
23,310887,2464,2531,35
23,310530,2531,2606,27
23,310801,2606,2644,22
23,310802,2644,2723,15
23,310806,2723,2770,15
23,309961,2770,2847,35
23,310687,2847,3051,20
23,310730,3051,3106,15
23,310733,3106,3177,23
23,310888,3177,3340,35
23,310226,3340,3396,27
